headline,published,ticker
"Энергообъекты ""Россети Центр"" работают устойчиво при возросшей нагрузке из-за морозов",2024-01-05 15:53:37,MRKP
"Энергообъекты ""Россети Центр"" работают устойчиво при возросшей нагрузке из-за морозов",2024-01-05 15:53:37,MRKC
"Энергообъекты ""Россети Центр"" работают устойчиво при возросшей нагрузке из-за морозов",2024-01-05 15:53:37,FEES
"Энергообъекты ""Россети Центр"" работают устойчиво при возросшей нагрузке из-за морозов",2024-01-05 15:53:37,MRKZ
"Энергообъекты ""Россети Центр"" работают устойчиво при возросшей нагрузке из-за морозов",2024-01-05 15:53:37,MSRS
ABH Holdings подал иск против Украины на $1 млрд в связи с национализацией Сенс банка - ИНТЕРФАКС,2024-01-05 16:11:00,OZON
На Урале сократился объем зарегистрированной безработицы в течение 2023 года,2024-01-06 07:46:07,MRKU
Российская недвижимость цена и темпы роста от Ренессанс Капитал,2024-01-06 07:58:00,RENI
В ДНР заявили об экспорте металлургической продукции региона в четыре страны,2024-01-06 11:52:11,MAGN
В ДНР заявили об экспорте металлургической продукции региона в четыре страны,2024-01-06 11:52:11,TRMK
Роснефть вышла на первое место по капитализации,2024-01-06 17:12:00,ROSN
"""Газпром"" подает газ для Европы через Украину в объеме 40,5 млн куб. м через ""Суджу""",2024-01-07 06:56:25,SIBN
"""Газпром"" подает газ для Европы через Украину в объеме 40,5 млн куб. м через ""Суджу""",2024-01-07 06:56:25,GAZP
Франция намерена снизить зависимость от невозобновляемых источников энергии до 40%,2024-01-07 10:58:40,RKKE
В X5 Group объяснили задержку поставок мяса птицы снегопадами и морозами,2024-01-07 14:40:01,FIVE
"""Газпром"" подает газ для Европы через Украину в объеме 40,5 млн куб. м через ""Суджу""",2024-01-08 07:08:49,SIBN
"""Газпром"" подает газ для Европы через Украину в объеме 40,5 млн куб. м через ""Суджу""",2024-01-08 07:08:49,GAZP
Собянин: развитие московских центральных диаметров в 2024 году будет продолжено,2024-01-08 07:48:17,CNTL
Собянин: развитие московских центральных диаметров в 2024 году будет продолжено,2024-01-08 07:48:17,CNTLP
РФ нужно нарастить базу технологий для участия в иностранных водородных проектах - эксперт,2024-01-08 08:50:00,AFKS
Как зарабатывать МИЛЛИАРДЫ на СЕЛЬСКОМ ХОЗЯЙСТВЕ? - Картофельные магнаты из Сибири,2024-01-08 10:10:00,MRKS
Детский мир отскакивает к цене предыдущей оферты,2024-01-08 11:00:00,DSKY
"""Россети Центр"" поддерживают бесперебойную работу энергосистемы жителей ЦФО",2024-01-08 12:47:56,MRKU
"""Россети Центр"" поддерживают бесперебойную работу энергосистемы жителей ЦФО",2024-01-08 12:47:56,MRKP
"""Россети Центр"" поддерживают бесперебойную работу энергосистемы жителей ЦФО",2024-01-08 12:47:56,MRKC
"""Россети Центр"" поддерживают бесперебойную работу энергосистемы жителей ЦФО",2024-01-08 12:47:56,FEES
"""Россети Центр"" поддерживают бесперебойную работу энергосистемы жителей ЦФО",2024-01-08 12:47:56,MRKZ
"""Россети Центр"" поддерживают бесперебойную работу энергосистемы жителей ЦФО",2024-01-08 12:47:56,MSRS
«Аэрофлот» ответил на данные о задержке рейса с Пхукета из-за поломки,2024-01-08 21:19:16,AFLT
В United Airlines нашли незатянутые болты на самолетах Boeing,2024-01-08 22:25:22,GEMC
Какая соцсеть в России стала догонять «ВКонтакте» по аудитории,2024-01-08 23:30:10,VKCO
ВТБ вслед за «Сбером» ограничит выдачи льготной ипотеки,2024-01-09 00:00:24,SBER
Поиск олигархов: как «Яндекс» пытается разделиться и найти новых собственников - Forbes,2024-01-09 04:13:00,YNDX
"Собрание акционеров TCS Group по вопросу редомициляции перенесено на неделю, пройдет 15 января - ИНТЕРФАКС",2024-01-09 04:32:00,TCSG
Прогноз показателей Яндекс до 2025 - SberCIB,2024-01-09 05:03:00,YNDX
В ВТБ заявили о решении не повышать ставки по ипотеке,2024-01-09 06:34:30,VTBR
Сургутнефтегаз ап дивидендная доходность на отсечку в 2014-2023 годах,2024-01-09 07:38:00,SNGS
Сургутнефтегаз ап дивидендная доходность на отсечку в 2014-2023 годах,2024-01-09 07:38:00,SNGSP
Корпорация развития Подмосковья привлекла инвестпроекты на 60 млрд рублей в 2023 году,2024-01-09 09:34:31,UNAC
«Ъ» узнал о получении лицензий в Индии двумя российскими банками,2024-01-09 10:10:11,SBER
«Ъ» узнал о получении лицензий в Индии двумя российскими банками,2024-01-09 10:10:11,TCSG
"""КАМАЗ"" планирует выпустить в январе 3,3 тыс. грузовиков",2024-01-09 11:10:00,KMAZ
В Белоруссии установили рекорд потребления электроэнергии,2024-01-09 11:16:16,OGKB
ЛУКОЙЛ оперативно закрыл дивидендный гэп,2024-01-09 11:25:00,LKOH
ОВК новый пик после допэмиссии!,2024-01-09 11:31:00,PIKK
ОВК новый пик после допэмиссии!,2024-01-09 11:31:00,UWGN
Бывшие топ-менеджеры «Тинькофф» купили банк на Филиппинах,2024-01-09 12:06:13,TCSG
"""Лукойл - Западная Сибирь"" передала Ладукетский участок недр своей ""дочке"" - госреестр",2024-01-09 12:17:23,LKOH
Президентом группы НЛМК избран Сергей Каратаев,2024-01-09 12:33:51,NLMK
"""Транснефть"" в 2023 году построила и реконструировала 42 резервуара",2024-01-09 12:42:17,TRNFP
"Минфин пока не рассматривает поддержку попавшей под санкции ""АЛРОСА""",2024-01-09 14:57:00,ALRS
Отмена временных экспортных пошлин на уголь поддержит Мечел и Распадскую — аналитики,2024-01-09 15:21:45,MTLRP
Отмена временных экспортных пошлин на уголь поддержит Мечел и Распадскую — аналитики,2024-01-09 15:21:45,MTLR
Отмена временных экспортных пошлин на уголь поддержит Мечел и Распадскую — аналитики,2024-01-09 15:21:45,RASP
"""Транснефть"" требует в суде 584 млн руб от компании-владельца бывшего Антипинского НПЗ",2024-01-09 15:24:42,SBER
"""Транснефть"" требует в суде 584 млн руб от компании-владельца бывшего Антипинского НПЗ",2024-01-09 15:24:42,SBERP
"Fix Price Group PLC (Фикс Прайс Груп ПЛС), открытая публичная компания с ограниченной ответственностью. Fix Price opened 751 net new stores in 2023 - сущфакт",2024-01-09 15:25:00,FIXP
РФ пока не видит нужды для покупки алмазов Алросы в Гохран после эмбарго на экспорт в G7 - ИФ,2024-01-09 15:57:22,ALRS
"Fix Price в 2023 году увеличил общее количество магазинов до 6,4 тыс.",2024-01-09 16:11:00,FIXP
"""Самолет"" стал лидером по объемам текущего строительства жилья в РФ в 2023, потеснил ГК ПИК - ИНТЕРФАКС",2024-01-09 16:48:00,PIKK
"""Русал"" зарегистрировал климатический проект по авиаохране красноярских лесов",2024-01-09 17:01:00,RUAL
Совет директоров НЛМК решил сменить президента,2024-01-09 17:13:24,NLMK
"Продажи нефтепродуктов на СПбМТСБ за 2023 г выросли на 6,4%, до рекордного 31 млн тонн",2024-01-09 17:29:49,MTSS
"""Дочка"" Детского мира выкупила 3,94% акций по обязательной оферте",2024-01-09 18:02:55,DSKY
Экспорт СПГ из РФ в 2024 г может вырасти за счет производств на Ямале и Сахалине – эксперт,2024-01-09 18:03:27,NVTK
Qualcomm и Bosch разработают центральный автокомпьютер для развлечений,2024-01-09 18:37:00,CNTL
Qualcomm и Bosch разработают центральный автокомпьютер для развлечений,2024-01-09 18:37:00,CNTLP
"Бывшее СП Shell и ""Газпром нефти"" получило новый участок недр в ХМАО-Югре - госреестр",2024-01-09 20:16:03,SIBN
"Структура АФК ""Система"" стала владельцем несостоявшейся La Datcha на Камчатке",2024-01-09 20:30:00,AFKS
"Сбер повысил минимальные ставки по базовым ипотечным программам до 16,7% годовых",2024-01-09 21:01:44,SBER
"Сбер повысил минимальные ставки по базовым ипотечным программам до 16,7% годовых",2024-01-09 21:01:44,SBERP
Вымогатели начали использовать ИИ для подделки голосовых в Telegram,2024-01-10 00:00:53,VKCO
Эксперты сообщили о росте доли в РФ дилерских центров китайских авто до 65% - ТАСС,2024-01-10 06:05:00,MRKP
Эксперты сообщили о росте доли в РФ дилерских центров китайских авто до 65% - ТАСС,2024-01-10 06:05:00,MRKC
"ВТБ сообщил о снижении активности мошенников в новогодние праздники в 4,5 раза",2024-01-10 07:33:32,VTBR
Сбербанк выдал перед Новым годом и за праздники более 75 тыс. ипотек,2024-01-10 07:39:48,SBER
Калининградский янтарный комбинат в 2023 году увеличил продажи янтаря почти на 30%,2024-01-10 07:44:59,MAGN
АФК Система еще усиливается гостиничными активами?,2024-01-10 09:28:00,AFKS
Сбербанк увеличил ставку по ипотеке,2024-01-10 09:48:02,SBER
Дочке Fix Price дали разрешение выплатить дивиденды в адрес Fix Price Group PLC,2024-01-10 09:59:00,FIXP
ОВК приближается к средневзвешанной цене,2024-01-10 10:15:00,UWGN
"Ритейлеру Fix Price разрешили вывести 9,8 млрд рублей дивидендов-2022 в кипрское юрлицо",2024-01-10 10:16:00,FIXP
"Расписки Fix Price подорожали на 5,2% на дивидендных новостях",2024-01-10 10:27:00,FIXP
Северсталь купила мощности по производству металлоконструкций в РФ,2024-01-10 11:19:41,CHMF
"Сбербанк подал еще несколько исков к своей бывшей украинской ""дочке""",2024-01-10 12:46:00,SBER
"«ТРАНСНЕФТЬ» В 2023 ГОДУ СНИЗИЛА ПОСТАВКИ НА ЭКСПОРТ РОССИЙСКОЙ НЕФТИ НА 6,5%, НА РОССИЙСКИЕ НПЗ — УВЕЛИЧИЛА НА 2,3% — КОМПАНИЯ",2024-01-10 13:02:00,TRNFP
Инвестиции в биржевые фонды денежного рынка превысили 200 млрд рублей - Московская биржа,2024-01-10 13:04:00,MOEX
"""Сибур"" зарегистрировал в госреестре 3 новых проекта сокращения выбросов СО2 в атмосферу",2024-01-10 13:11:28,NKNC
"""Сибур"" зарегистрировал в госреестре 3 новых проекта сокращения выбросов СО2 в атмосферу",2024-01-10 13:11:28,NKNCP
"""Северсталь"" купила часть активов ""Венталла"" по производству металлоконструкций - ИНТЕРФАКС",2024-01-10 13:12:00,CHMF
"Экспорт нефти по системе ""Транснефти"" в 2023 году упал на 6,5%",2024-01-10 13:15:00,TRNFP
"Сбер намерен инициировать банкротство УК Goldman Group и пяти ""дочек"" холдинга",2024-01-10 13:17:00,SBER
"Сбер намерен инициировать банкротство УК Goldman Group и пяти ""дочек"" холдинга",2024-01-10 13:17:00,SBERP
"Выработка электроэнергии ТГК-14 в 2023 г выросла на 4,3%, до 3,13 млрд кВт.ч",2024-01-10 13:33:00,TGKN
Минск и Москва разрабатывают правила работы объединенного рынка электроэнергии,2024-01-10 13:54:53,OGKB
В ЛНР центр занятости в 2023 году трудоустроил почти 90% желающих работать,2024-01-10 13:55:49,MRKP
В ЛНР центр занятости в 2023 году трудоустроил почти 90% желающих работать,2024-01-10 13:55:49,MRKC
Испанский производитель башен для ветрогенераторов Windar вышел из СП с Северсталью,2024-01-10 14:14:49,CHMF
Биржевая цена бензина чуть выросла в среду на бирже РФ,2024-01-10 14:20:01,MTSS
"Акционеры ""Мосгорломбарда"" решили конвертировать ""префы"" в обыкновенные акции",2024-01-10 14:55:00,MGKL
ТГК-14 установила новый рекорд выработки электроэнергии в 2023 году,2024-01-10 14:58:00,OGKB
Сегодня Магнит и Роснефть отсекают реестр под дивиденды,2024-01-10 16:22:00,ROSN
Сегодня Магнит и Роснефть отсекают реестр под дивиденды,2024-01-10 16:22:00,MGNT
"Перерегистрация ООО ""Обский аммиак"" ""НОВАТЭКа"" в Мурманске отражена в ЕГРЮЛ",2024-01-10 16:49:00,NVTK
"Совет директоров ""Аэрофлота"" утвердил климатическую политику группы",2024-01-10 17:25:27,AFLT
Сбербанк ищет специалиста для изучения рынка трансграничных расчетов на базе криптовалют,2024-01-10 17:46:24,SBER
Сбербанк ищет специалиста для изучения рынка трансграничных расчетов на базе криптовалют,2024-01-10 17:46:24,SBERP
Стоимость алюминия на LME будет снижаться на фоне роста запасов - эксперт,2024-01-10 18:26:45,RUAL
Банки атаковали идеи ФНС о залогах в банкротстве картиной последствий вплоть до снижения дивидендов Сбера - ИНТЕРФАКС,2024-01-10 20:15:00,SBER
Банки атаковали идеи ФНС о залогах в банкротстве картиной последствий вплоть до снижения дивидендов Сбера - ИНТЕРФАКС,2024-01-10 20:15:00,SBERP
СПБ биржа хочет ликвидировать совет директоров и передать его функции правлению -frankmedia,2024-01-10 20:19:00,SPBE
"Расчетный депозитарий ""СПБ Биржи"" представил Минфину США стратегию разблокировки активов",2024-01-10 20:38:19,SPBE
"""Магнит"" отмечает стабилизацию цен на яйца",2024-01-10 22:04:31,MGNT
"Акционеры ""СПБ Биржи"" 19 января рассмотрят передачу функций совета директоров правлению",2024-01-10 22:38:05,SPBE
Путин считает возможным предоставить статус ТОР приграничным логистическим центрам,2024-01-11 06:16:07,MRKP
Путин считает возможным предоставить статус ТОР приграничным логистическим центрам,2024-01-11 06:16:07,MRKC
Московская биржа подвела итоги торгов в декабре 2023 года,2024-01-11 06:42:00,MOEX
Минск и Москва разрабатывают правила работы объединенного рынка электроэнергии - ТАСС,2024-01-11 07:00:00,OGKB
На Кубани запустили производство обрабатывающих центров при поддержке ФРП,2024-01-11 07:05:58,MRKP
На Кубани запустили производство обрабатывающих центров при поддержке ФРП,2024-01-11 07:05:58,MRKC
"ЦБ РФ в январе-феврале в разы нарастит продажи валюты, что поддержит курс рубля - эксперты",2024-01-11 07:15:00,BSPB
"Стоимость модернизации Владивостокской ТЭЦ-2 ""Русгидро"" превысила 66 млрд руб - СМИ",2024-01-11 08:31:42,HYDR
"""Транснефть"" реализует пилотный ИИ-проект для прогноза наличия нефти в резервуарах",2024-01-11 09:41:13,TRNFP
"""Новогодний"" дивидендный гэп в Магните.",2024-01-11 10:22:00,MGNT
"""Оператор ГТС Украины"" сможет производить электроэнергию",2024-01-11 10:28:54,OGKB
"Индекс МосБиржи снизился на 0,3% из-за отсечек ""Магнита"" и ""Роснефти""",2024-01-11 10:38:00,ROSN
"Индекс МосБиржи снизился на 0,3% из-за отсечек ""Магнита"" и ""Роснефти""",2024-01-11 10:38:00,MGNT
"""Россети"" перешли на усиленный режим работы в ряде регионов из-за ухудшения погоды",2024-01-11 10:48:35,MRKU
"""Россети"" перешли на усиленный режим работы в ряде регионов из-за ухудшения погоды",2024-01-11 10:48:35,MRKP
"""Россети"" перешли на усиленный режим работы в ряде регионов из-за ухудшения погоды",2024-01-11 10:48:35,MRKC
"""Россети"" перешли на усиленный режим работы в ряде регионов из-за ухудшения погоды",2024-01-11 10:48:35,FEES
"""Россети"" перешли на усиленный режим работы в ряде регионов из-за ухудшения погоды",2024-01-11 10:48:35,MRKZ
"""Россети"" перешли на усиленный режим работы в ряде регионов из-за ухудшения погоды",2024-01-11 10:48:35,MSRS
НПФ Сбербанка стал первым оператором программы долгосрочных сбережений,2024-01-11 10:55:25,SBER
НПФ Сбербанка стал первым оператором программы долгосрочных сбережений,2024-01-11 10:55:25,SBERP
X5 восстановила ассортимент куриного мяса в магазинах на Урале и в Поволжье,2024-01-11 11:24:59,MRKU
X5 восстановила ассортимент куриного мяса в магазинах на Урале и в Поволжье,2024-01-11 11:24:59,FIVE
"""Совкомбанк факторинг"" подал еще один иск к Goldman Group о взыскании 71 млн руб. долга - ИНТЕРФАКС",2024-01-11 11:36:00,SVCB
"Суды обязали ""Ленту"" представить документы в деле о банкротстве офшора экс-хозяев ""Траста""",2024-01-11 12:03:29,LENT
«Зависшие» активы ВТБ в Британии предложили передать в траст на 15 лет - РБК,2024-01-11 12:12:00,VTBR
"""Роснефть"" увеличит точность прогнозирования нефтеотдачи на 10% за счет новой технологии",2024-01-11 13:12:05,ROSN
Британское подразделение ВТБ может начать расплачиваться с кредиторами — отчет управляющего,2024-01-11 13:16:25,VTBR
"Котировки ""Северстали"" взлетели на 5,7% на новости о возможной выплате дивидендов",2024-01-11 13:28:00,CHMF
"Инвестпрограмма Яковлевского ГОКа ""Северстали"" в 2024 г превысит 6,6 млрд руб",2024-01-11 13:41:17,CHMF
Газпромбанк изменил рекомендацию по UGLD,2024-01-11 13:42:42,UGLD
АЕБ прогнозирует рост авторынка РФ на 15% в 24г,2024-01-11 13:48:22,SVAV
Глава Северстали не исключил скорого возврата к дивидендам,2024-01-11 14:19:59,CHMF
Сбер поможет повысить безопасность на объектах социальной инфраструктуры Орловской области,2024-01-11 14:50:43,SBER
Сбер поможет повысить безопасность на объектах социальной инфраструктуры Орловской области,2024-01-11 14:50:43,SBERP
"""СПБ биржа"" на фоне потерь в СД после санкций готовит вариант работы без него",2024-01-11 15:02:00,SPBE
Основные виды топлива подорожали на бирже РФ в четверг,2024-01-11 15:31:23,MTSS
Слухи. Северсталь хочет выкупить около 15% депозитарных расписок Globaltrans,2024-01-11 15:35:00,CHMF
Слухи. Северсталь хочет выкупить около 15% депозитарных расписок Globaltrans,2024-01-11 15:35:00,GLTR
Вероятность оплаты растущих затрат на ТЭЦ-2 во Владивостоке за счёт рынка велика - эксперт,2024-01-11 15:42:11,HYDR
"SFI стал напрямую владеть компанией, консолидирующей квазиказначейские акции холдинга",2024-01-11 16:03:13,MVID
ВТБ и Открытие начали объединение негосударственных пенсионных фондов,2024-01-11 16:08:32,VTBR
"Чистая прибыль НЛМК по РСБУ за 9 месяцев 2023 года составила 182,1 млрд руб",2024-01-11 16:33:35,NLMK
"Дочка ""ЛУКОЙЛа"" ликвидирует представительство в Азербайджане",2024-01-11 16:59:00,LKOH
Куба за счет роста внутренних цен на топливо сможет оплачивать поставки из РФ - эксперт,2024-01-11 17:19:44,ROSN
"""Делимобиль"" вынес на совет директоров вопрос об обращении на биржу за листингом - ИНТЕРФАКС",2024-01-11 17:20:00,DELI
"Продажи ""Соллерса"" в 2023 году выросли на 17%, до 46,8 тыс. шт",2024-01-11 17:42:00,SVAV
На Украине оптовые цены на картофель достигли исторического максимума,2024-01-11 18:29:38,OGKB
"НКХП в 2023г увеличил перевалку зерна на экспорт в 1,7 раза, до рекордных 7,9 млн т - ИНТЕРФАКС",2024-01-11 18:46:00,NKHP
"Суд оставил в силе взыскание с татарстанских нефтяников 1,4 млрд рублей в пользу Сбера",2024-01-11 19:04:00,SBER
"Суд оставил в силе взыскание с татарстанских нефтяников 1,4 млрд рублей в пользу Сбера",2024-01-11 19:04:00,SBERP
ФАС проверит жалобы на банки из-за новых условий выдачи льготной ипотеки,2024-01-11 19:08:00,SBER
ФАС проверит жалобы на банки из-за новых условий выдачи льготной ипотеки,2024-01-11 19:08:00,SBERP
Дальнейшее снижение цен на топливо на АЗС возможно за счет дополнительных акций - эксперт,2024-01-11 20:27:06,SIBN
ФМБА в 2024 году направит более 2 млрд рублей на создание центров промышленной медицины,2024-01-12 04:45:37,MRKP
ФМБА в 2024 году направит более 2 млрд рублей на создание центров промышленной медицины,2024-01-12 04:45:37,MRKC
Предприниматели выкупили у города 89 объектов недвижимости в центре Москвы в 2023 году,2024-01-12 05:01:37,MRKP
Предприниматели выкупили у города 89 объектов недвижимости в центре Москвы в 2023 году,2024-01-12 05:01:37,MRKC
"""Аэрофлот"" и ""Победа"" не выполняют полеты над территорией Йемена",2024-01-12 07:51:53,AFLT
"""Шереметьево"" убрал с сайта рейсы ""Победы"" в Краснодар с января и показывает их в феврале",2024-01-12 09:06:08,AFLT
"Акции ""Камаза"" на Мосбирже росли более чем на 4,4%",2024-01-12 09:29:23,KMAZ
Портфель рублевых средств физлиц в ВТБ в декабре вырос на рекордные 550 млрд руб - банк,2024-01-12 09:29:37,VTBR
На тюменской трассе водитель врезался в оторвавшийся прицеп и погиб,2024-01-12 09:55:01,KMAZ
"Ожидания-2024 в экономике России: инфляция, налоги и сдувание ипотечного пузыря",2024-01-12 10:00:00,VTBR
Приток средств населения в ВТБ в дек поставил рекорд за все время работы банка,2024-01-12 10:02:24,VTBR
ЭсЭфАй 700,2024-01-12 10:08:00,SFIN
"Годовая выручка Henderson выросла на 35% - до 16,8 млрд рублей",2024-01-12 10:45:00,HNFG
Авиакомпании РФ увеличили пассажиропоток на 10% до 105 млн человек в 23г - ИФ,2024-01-12 11:01:17,AFLT
"Российский суд удовлетворил иск ""Газпрома"" к ""Нафтогазу Украины""",2024-01-12 11:22:23,SIBN
"РФ нарастила экспорт нефтепродуктов в Центральную Азию, Монголию и Афганистан на 28% в 23г",2024-01-12 12:08:03,TRNFP
Выручка HENDERSON выросла на 35% в 2023 году,2024-01-12 12:21:00,HNFG
КАМАЗ опубликовал сильный отчет за 1-е полугодие 2023 года!,2024-01-12 12:28:00,KMAZ
"Болгария заменила российскую нефть сырьём из Казахстана, Ирака и Туниса--LSEG, трейдеры",2024-01-12 13:34:04,LKOH
"""Транснефть"" просит археологов ускорить работы на Кубани ради расширения системы",2024-01-12 13:46:00,TRNFP
"Кредитование сезонных полевых работ в РФ за 2023 г выросло до 1,2 трлн руб - Минсельхоз",2024-01-12 14:09:33,SBER
"Кредитование сезонных полевых работ в РФ за 2023 г выросло до 1,2 трлн руб - Минсельхоз",2024-01-12 14:09:33,SBERP
"""Транснефть"" увеличила прием нефтепродуктов от НПЗ в Московской области",2024-01-12 14:14:00,TRNFP
"""Камаз"" планирует в январе собрать заявки на облигации на 5 млрд руб - источник",2024-01-12 14:26:36,KMAZ
Детский Мир планирует вынести на ВОСА вопрос о ликвидации,2024-01-12 15:05:00,DSKY
"Главгосэкспертиза РФ одобрила проект строительства Артемовской ТЭЦ-2, срок сдачи - 2027 г",2024-01-12 15:31:40,HYDR
Биржевая цена зимнего дизельного топлива в пятницу опустилась ниже 60 тыс руб за тонну,2024-01-12 15:35:46,MTSS
"Вопрос о ликвидации ПАО ""Детский мир"" вынесут на собрание акционеров",2024-01-12 15:50:00,DSKY
"Чистая прибыль ""Камаза"" по РСБУ в I полугодии 2023 г выросла в 4,8 раза, до 13 млрд руб",2024-01-12 15:51:35,KMAZ
"""Мечел"" в 2023 году отгрузил 300 тыс тонн руды с Сиваглинского месторождения в Якутии",2024-01-12 16:03:54,MTLRP
"""Мечел"" в 2023 году отгрузил 300 тыс тонн руды с Сиваглинского месторождения в Якутии",2024-01-12 16:03:54,MTLR
"Акции Сбербанка войдут в расчет ""Индекса Мосбиржи - РСПП Ответственность и открытость""",2024-01-12 16:10:39,SBER
"Акции Сбербанка войдут в расчет ""Индекса Мосбиржи - РСПП Ответственность и открытость""",2024-01-12 16:10:39,SBERP
"""Ростелеком"" через суд потребовал от Минцифры 526 млн руб. за оказанные услуги",2024-01-12 16:23:00,RTKM
"""Ростелеком"" через суд потребовал от Минцифры 526 млн руб. за оказанные услуги",2024-01-12 16:23:00,RTKMP
